text,Labels
Buy cheap meds online,spam
Meeting tomorrow at 10,not spam
Win a free iPhone now!,spam
How are you feeling today?,not spam
Click here to claim your prize,spam
Your account has been suspended,spam
See you at the meeting,not spam
Your package has been shipped,not spam
Free money is waiting for you!,spam
Important updates on your bank account,spam
Let's catch up this weekend!,not spam
Family dinner at 7 tonight.,not spam
Claim your free gift now!,spam
Don't miss this opportunity to save big,spam
Exclusive offer just for you,spam
"Hello, how have you been?",not spam
Meeting rescheduled to 3 PM,not spam
Win a brand new car! Click here,spam
Important: Update your account information,spam
Lunch plans for tomorrow?,not spam
